id,date,receiver_deliverer,details,amount,currency,debit_credit
1212,2021-05-06,Eeden Keskus\Kose,'5555******4444 06.05.21  Eeden Keskus\Kose,76.35,EUR,D
1213,2021-05-07,Rahva Raamat\Kiviõli,'5555******4444 07.05.21  Rahva Raamat\Kiviõli,266.85,EUR,D
1214,2021-05-07,Tactical Foodpack\Lääne-Nigula,'5555******4444 07.05.21  Tactical Foodpack\Lääne-Nigula,397.71,EUR,D
1215,2021-05-07,Pärnu Keskus\Tapa,'5555******4444 07.05.21  Pärnu Keskus\Tapa,292.38,EUR,D
1216,2021-05-07,ABC King\Kärdla,'5555******4444 07.05.21  ABC King\Kärdla,280.59,EUR,D
1217,2021-05-08,Apollo Raamatud\Kose,'5555******4444 08.05.21  Apollo Raamatud\Kose,328.74,EUR,D
1218,2021-05-08,Apotheka\Elva,'5555******4444 08.05.21  Apotheka\Elva,324.95,EUR,D
1219,2021-05-08,Juhan,Transaction with Juhan,887.4,EUR,D
1220,2021-05-08,Erik,Transaction with Erik,848.86,EUR,D
1221,2021-05-08,Heiki,Transaction with Heiki,139.54,EUR,D
1222,2021-05-09,Ahto,Transaction with Ahto,103.54,EUR,K
1223,2021-05-09,Apotheka\Jõgeva,'5555******4444 09.05.21  Apotheka\Jõgeva,344.76,EUR,D
1224,2021-05-11,AlkoExpress\Jõhvi,'5555******4444 11.05.21  AlkoExpress\Jõhvi,195.93,EUR,D
1225,2021-05-11,Neste\Laagri,'5555******4444 11.05.21  Neste\Laagri,44.72,EUR,D
1226,2021-05-12,NS King\Loksa,'5555******4444 12.05.21  NS King\Loksa,383.31,EUR,D
1227,2021-05-12,Magaziin\Tõrva,'5555******4444 12.05.21  Magaziin\Tõrva,255.1,EUR,D
1228,2021-05-12,Siim,Transaction with Siim,125.19,EUR,K
1229,2021-05-12,Suunto\Türi,'5555******4444 12.05.21  Suunto\Türi,349.43,EUR,D
1230,2021-05-13,Neste\Lihula,'5555******4444 13.05.21  Neste\Lihula,87.34,EUR,D
1231,2021-05-13,Euro Oil\Põlva,'5555******4444 13.05.21  Euro Oil\Põlva,90.77,EUR,D
1232,2021-05-13,E-Selver\Tõrva,'5555******4444 13.05.21  E-Selver\Tõrva,173.42,EUR,D
1233,2021-05-13,Ivo Nikkolo\Saku,'5555******4444 13.05.21  Ivo Nikkolo\Saku,351.36,EUR,D
1234,2021-05-14,Circle K\Elva,'5555******4444 14.05.21  Circle K\Elva,92.96,EUR,D
1235,2021-05-14,Lindex\Tõrva,'5555******4444 14.05.21  Lindex\Tõrva,251.74,EUR,D
1236,2021-05-14,Ott,Transaction with Ott,326.45,EUR,K
1237,2021-05-14,Terminal Oil\Põltsamaa,'5555******4444 14.05.21  Terminal Oil\Põltsamaa,55.63,EUR,D
1238,2021-05-14,Statoil\Kose,'5555******4444 14.05.21  Statoil\Kose,99.91,EUR,D
1239,2021-05-15,Statoil\Jõgeva,'5555******4444 15.05.21  Statoil\Jõgeva,79.38,EUR,D
1240,2021-05-15,Mohito\Jõhvi,'5555******4444 15.05.21  Mohito\Jõhvi,468.75,EUR,D
1241,2021-05-15,Euro Oil\Kilingi-Nõmme,'5555******4444 15.05.21  Euro Oil\Kilingi-Nõmme,92.49,EUR,D
1242,2021-05-16,Mohito\Mustvee,'5555******4444 16.05.21  Mohito\Mustvee,495.06,EUR,D
1243,2021-05-16,T1 Mall of Tallinn\Kärdla,'5555******4444 16.05.21  T1 Mall of Tallinn\Kärdla,255.5,EUR,D
1244,2021-05-16,Vallo,Transaction with Vallo,938.96,EUR,K
1245,2021-05-16,Viimistlusmarket\Põltsamaa,'5555******4444 16.05.21  Viimistlusmarket\Põltsamaa,487.57,EUR,D
1246,2021-05-16,Mööbliait\Tabasalu,'5555******4444 16.05.21  Mööbliait\Tabasalu,417.0,EUR,D
1247,2021-05-17,Balticom\Narva,'5555******4444 17.05.21  Balticom\Narva,165.63,EUR,D
1248,2021-05-17,Kaubamaja e-pood\Abja-Paluoja,'5555******4444 17.05.21  Kaubamaja e-pood\Abja-Paluoja,62.44,EUR,D
1249,2021-05-17,E-Selver\Kärdla,'5555******4444 17.05.21  E-Selver\Kärdla,133.51,EUR,D
1250,2021-05-17,Tööriistamarket\Mustvee,'5555******4444 17.05.21  Tööriistamarket\Mustvee,139.34,EUR,D
1251,2021-05-18,Liis,Salary from Liis,3548.5,EUR,K
1252,2021-05-18,H&M\Tapa,'5555******4444 18.05.21  H&M\Tapa,61.06,EUR,D
1253,2021-05-18,Kristi,Transaction with Kristi,746.04,EUR,K
1254,2021-05-18,ONOFF\Valga,'5555******4444 18.05.21  ONOFF\Valga,392.33,EUR,D
1255,2021-05-19,Liviko\Antsla,'5555******4444 19.05.21  Liviko\Antsla,264.11,EUR,D
1256,2021-05-19,Matkasell\Püssi,'5555******4444 19.05.21  Matkasell\Püssi,128.86,EUR,D
1257,2021-05-20,Jysk e-pood\Kuressaare,'5555******4444 20.05.21  Jysk e-pood\Kuressaare,121.72,EUR,D
1258,2021-05-20,Koduekstra\Põltsamaa,'5555******4444 20.05.21  Koduekstra\Põltsamaa,45.16,EUR,D
1259,2021-05-21,Euro Oil\Saue,'5555******4444 21.05.21  Euro Oil\Saue,58.64,EUR,D
1260,2021-05-22,Heino,Salary from Heino,4915.89,EUR,K
1261,2021-05-22,Euro Oil\Jõhvi,'5555******4444 22.05.21  Euro Oil\Jõhvi,65.24,EUR,D
1262,2021-05-23,Statoil\Tõrva,'5555******4444 23.05.21  Statoil\Tõrva,13.43,EUR,D
1263,2021-05-23,Alexela\Laagri,'5555******4444 23.05.21  Alexela\Laagri,62.53,EUR,D
1264,2021-05-23,Statoil\Otepää,'5555******4444 23.05.21  Statoil\Otepää,79.89,EUR,D
1265,2021-05-23,Zara\Viljandi,'5555******4444 23.05.21  Zara\Viljandi,349.75,EUR,D
1266,2021-05-24,Grete,Salary from Grete,1715.04,EUR,K
1267,2021-05-24,Signe,Transaction with Signe,874.2,EUR,K
1268,2021-05-24,Kalev,Transaction with Kalev,700.31,EUR,D
1269,2021-05-26,Reserved\Tallinn,'5555******4444 26.05.21  Reserved\Tallinn,121.11,EUR,D
1270,2021-05-28,Egle,Salary from Egle,4433.92,EUR,K
1271,2021-05-28,Klick\Luunja,'5555******4444 28.05.21  Klick\Luunja,219.61,EUR,D
1272,2021-05-28,PetCity\Võru,'5555******4444 28.05.21  PetCity\Võru,17.3,EUR,D
1273,2021-05-28,Photopoint\Põlva,'5555******4444 28.05.21  Photopoint\Põlva,120.71,EUR,D
1274,2021-05-28,Mihkel,Transaction with Mihkel,404.43,EUR,D
1275,2021-05-29,Ehe ja Ehtne\Saue,'5555******4444 29.05.21  Ehe ja Ehtne\Saue,256.24,EUR,D
1276,2021-05-29,E-Selver\Muhu,'5555******4444 29.05.21  E-Selver\Muhu,49.26,EUR,D
1277,2021-05-29,Neste\Luunja,'5555******4444 29.05.21  Neste\Luunja,19.85,EUR,D
1278,2021-05-29,Balticom\Otepää,'5555******4444 29.05.21  Balticom\Otepää,174.56,EUR,D
1279,2021-05-29,Eesti Disaini Maja\Kohtla-Järve,'5555******4444 29.05.21  Eesti Disaini Maja\Kohtla-Järve,363.34,EUR,D
1280,2021-05-30,Hansapost e-pood\Elva,'5555******4444 30.05.21  Hansapost e-pood\Elva,494.75,EUR,D
1281,2021-05-30,House\Paldiski,'5555******4444 30.05.21  House\Paldiski,105.82,EUR,D
1282,2021-05-30,Circle K\Püssi,'5555******4444 30.05.21  Circle K\Püssi,60.23,EUR,D
1283,2021-05-30,Prisma\Viljandi,'5555******4444 30.05.21  Prisma\Viljandi,21.77,EUR,D
1284,2021-05-30,Espak\Võru,'5555******4444 30.05.21  Espak\Võru,72.27,EUR,D
1285,2021-05-31,Jetoil\Haapsalu,'5555******4444 31.05.21  Jetoil\Haapsalu,70.94,EUR,D
1286,2021-05-31,Vallo,Transaction with Vallo,905.12,EUR,D
1287,2021-06-01,Olerex\Sillamäe,'5555******4444 01.06.21  Olerex\Sillamäe,22.68,EUR,D
1288,2021-06-01,Kristel,Transaction with Kristel,506.41,EUR,K
1289,2021-06-02,Apollo Raamatud\Kohtla-Järve,'5555******4444 02.06.21  Apollo Raamatud\Kohtla-Järve,241.64,EUR,D
1290,2021-06-02,Kristjan,Salary from Kristjan,1277.3,EUR,K
1291,2021-06-02,Decora\Kunda,'5555******4444 02.06.21  Decora\Kunda,58.64,EUR,D
1292,2021-06-03,Euro Oil\Jõhvi,'5555******4444 03.06.21  Euro Oil\Jõhvi,41.85,EUR,D
1293,2021-06-03,Margus,Transaction with Margus,880.18,EUR,K
1294,2021-06-03,Jetoil\Võhma,'5555******4444 03.06.21  Jetoil\Võhma,43.82,EUR,D
1295,2021-06-03,Tallinna Kaubamaja\Lääne-Nigula,'5555******4444 03.06.21  Tallinna Kaubamaja\Lääne-Nigula,371.2,EUR,D
1296,2021-06-03,Tactical Foodpack\Valga,'5555******4444 03.06.21  Tactical Foodpack\Valga,168.89,EUR,D
1297,2021-06-04,Oomipood\Rapla,'5555******4444 04.06.21  Oomipood\Rapla,184.44,EUR,D
1298,2021-06-04,Oliver,Transaction with Oliver,708.18,EUR,K
1299,2021-06-05,Rasmus,Transaction with Rasmus,885.34,EUR,K
1300,2021-06-05,Margus,Salary from Margus,3670.61,EUR,K
1301,2021-06-05,Tasku Keskus\Võhma,'5555******4444 05.06.21  Tasku Keskus\Võhma,426.54,EUR,D
1302,2021-06-06,ABC King\Rakvere,'5555******4444 06.06.21  ABC King\Rakvere,393.77,EUR,D
1303,2021-06-07,Jetoil\Lohusuu,'5555******4444 07.06.21  Jetoil\Lohusuu,93.35,EUR,D
1304,2021-06-07,Jetoil\Narva,'5555******4444 07.06.21  Jetoil\Narva,84.69,EUR,D
1305,2021-06-07,Evelin,Salary from Evelin,3848.98,EUR,K
1306,2021-06-08,ZooPlan\Mustvee,'5555******4444 08.06.21  ZooPlan\Mustvee,164.93,EUR,D
1307,2021-06-08,Abakhan\Sillamäe,'5555******4444 08.06.21  Abakhan\Sillamäe,276.07,EUR,D
1308,2021-06-08,Compensa\Tapa,'5555******4444 08.06.21  Compensa\Tapa,173.18,EUR,D
1309,2021-06-08,Anneli,Transaction with Anneli,134.16,EUR,K
1310,2021-06-08,Pille,Salary from Pille,4641.62,EUR,K
1311,2021-06-09,Zara\Mustvee,'5555******4444 09.06.21  Zara\Mustvee,385.95,EUR,D
1312,2021-06-10,Tööriistamarket\Rapla,'5555******4444 10.06.21  Tööriistamarket\Rapla,477.88,EUR,D
1313,2021-06-10,Indrek,Transaction with Indrek,999.23,EUR,D
1314,2021-06-11,Kristjan,Transaction with Kristjan,189.97,EUR,K
1315,2021-06-11,Alexela\Jõhvi,'5555******4444 11.06.21  Alexela\Jõhvi,61.23,EUR,D
1316,2021-06-11,Egle,Transaction with Egle,985.64,EUR,D
1317,2021-06-11,Selver\Elva,'5555******4444 11.06.21  Selver\Elva,333.16,EUR,D
1318,2021-06-11,Põnnipesa\Põltsamaa,'5555******4444 11.06.21  Põnnipesa\Põltsamaa,420.84,EUR,D
1319,2021-06-12,Tuuli,Transaction with Tuuli,767.71,EUR,D
1320,2021-06-12,Erki,Transaction with Erki,728.82,EUR,D
1321,2021-06-12,AlkoExpress\Jõhvi,'5555******4444 12.06.21  AlkoExpress\Jõhvi,251.45,EUR,D
1322,2021-06-12,Olerex\Tallinn,'5555******4444 12.06.21  Olerex\Tallinn,53.51,EUR,D
1323,2021-06-12,Olerex\Paide,'5555******4444 12.06.21  Olerex\Paide,32.18,EUR,D
1324,2021-06-13,Ilona,Transaction with Ilona,839.4,EUR,D
1325,2021-06-13,Ilona,Transaction with Ilona,957.32,EUR,K
1326,2021-06-13,Aatrium\Haapsalu,'5555******4444 13.06.21  Aatrium\Haapsalu,31.58,EUR,D
1327,2021-06-13,Jetoil\Viljandi,'5555******4444 13.06.21  Jetoil\Viljandi,55.92,EUR,D
1328,2021-06-13,Jüri,Transaction with Jüri,861.08,EUR,D
1329,2021-06-14,Anu,Transaction with Anu,756.78,EUR,D
1330,2021-06-14,Alexela\Kiviõli,'5555******4444 14.06.21  Alexela\Kiviõli,77.64,EUR,D
1331,2021-06-15,Rene,Transaction with Rene,840.01,EUR,K
1332,2021-06-15,Circle K\Sillamäe,'5555******4444 15.06.21  Circle K\Sillamäe,50.24,EUR,D
1333,2021-06-15,Hortes\Sillamäe,'5555******4444 15.06.21  Hortes\Sillamäe,287.91,EUR,D
1334,2021-06-15,Peeter,Transaction with Peeter,721.69,EUR,K
1335,2021-06-16,Priit,Transaction with Priit,934.06,EUR,K
1336,2021-06-16,Oskar,Transaction with Oskar,973.79,EUR,K
1337,2021-06-16,Abakhan\Tapa,'5555******4444 16.06.21  Abakhan\Tapa,402.86,EUR,D
1338,2021-06-16,Suunto\Tabasalu,'5555******4444 16.06.21  Suunto\Tabasalu,477.43,EUR,D
1339,2021-06-17,Kersti,Transaction with Kersti,72.15,EUR,D
1340,2021-06-17,Fixus\Muhu,'5555******4444 17.06.21  Fixus\Muhu,320.65,EUR,D
1341,2021-06-17,Euro Oil\Paide,'5555******4444 17.06.21  Euro Oil\Paide,50.35,EUR,D
1342,2021-06-18,Rocca al Mare Kaubanduskeskus\Võru,'5555******4444 18.06.21  Rocca al Mare Kaubanduskeskus\Võru,124.27,EUR,D
1343,2021-06-18,Balti Jaama Turg\Võsu,'5555******4444 18.06.21  Balti Jaama Turg\Võsu,271.6,EUR,D
1344,2021-06-18,ZooPlan\Mustvee,'5555******4444 18.06.21  ZooPlan\Mustvee,164.74,EUR,D
1345,2021-06-18,Kaubamaja\Abja-Paluoja,'5555******4444 18.06.21  Kaubamaja\Abja-Paluoja,358.24,EUR,D
1346,2021-06-18,Janek,Transaction with Janek,294.03,EUR,K
1347,2021-06-19,Terminal Oil\Keila,'5555******4444 19.06.21  Terminal Oil\Keila,52.24,EUR,D
1348,2021-06-19,T1 Mall of Tallinn\Jõgeva,'5555******4444 19.06.21  T1 Mall of Tallinn\Jõgeva,304.02,EUR,D
1349,2021-06-19,PetCity e-pood\Narva,'5555******4444 19.06.21  PetCity e-pood\Narva,376.93,EUR,D
1350,2021-06-21,Merle,Transaction with Merle,177.69,EUR,K
1351,2021-06-21,Autoekspert\Võru,'5555******4444 21.06.21  Autoekspert\Võru,167.52,EUR,D
1352,2021-06-22,Solaris Keskus\Haapsalu,'5555******4444 22.06.21  Solaris Keskus\Haapsalu,177.55,EUR,D
1353,2021-06-23,Mohito\Kärdla,'5555******4444 23.06.21  Mohito\Kärdla,257.98,EUR,D
1354,2021-06-23,Jüri,Transaction with Jüri,46.73,EUR,D
1355,2021-06-23,Jana,Transaction with Jana,184.53,EUR,D
1356,2021-06-23,Arsenal\Türi,'5555******4444 23.06.21  Arsenal\Türi,468.84,EUR,D
1357,2021-06-24,PetCenter\Laagri,'5555******4444 24.06.21  PetCenter\Laagri,129.34,EUR,D
1358,2021-06-24,Rasmus,Transaction with Rasmus,290.16,EUR,K
1359,2021-06-24,Janek,Salary from Janek,2536.17,EUR,K
1360,2021-06-24,Indrek,Transaction with Indrek,346.41,EUR,D
1361,2021-06-24,Alexela\Abja-Paluoja,'5555******4444 24.06.21  Alexela\Abja-Paluoja,49.52,EUR,D
1362,2021-06-25,Monton\Kilingi-Nõmme,'5555******4444 25.06.21  Monton\Kilingi-Nõmme,265.54,EUR,D
1363,2021-06-25,Skanmööbel\Tõrva,'5555******4444 25.06.21  Skanmööbel\Tõrva,90.16,EUR,D
1364,2021-06-25,Prisma e-shop\Pärnu,'5555******4444 25.06.21  Prisma e-shop\Pärnu,404.43,EUR,D
1365,2021-06-25,Eesti Gaas\Tapa,'5555******4444 25.06.21  Eesti Gaas\Tapa,199.78,EUR,D
1366,2021-06-25,Mart,Transaction with Mart,528.31,EUR,K
1367,2021-06-26,XS Mänguasjad\Kose,'5555******4444 26.06.21  XS Mänguasjad\Kose,200.94,EUR,D
1368,2021-06-26,Euronics\Lääne-Nigula,'5555******4444 26.06.21  Euronics\Lääne-Nigula,396.77,EUR,D
1369,2021-06-26,Tondi Elektroonika\Lääne-Nigula,'5555******4444 26.06.21  Tondi Elektroonika\Lääne-Nigula,283.53,EUR,D
1370,2021-06-28,Rimi\Saue,'5555******4444 28.06.21  Rimi\Saue,133.28,EUR,D
1371,2021-06-28,Circle K\Türi,'5555******4444 28.06.21  Circle K\Türi,58.23,EUR,D
1372,2021-06-28,Sandra,Transaction with Sandra,378.58,EUR,K
1373,2021-06-29,Tondi Elektroonika\Sillamäe,'5555******4444 29.06.21  Tondi Elektroonika\Sillamäe,430.46,EUR,D
1374,2021-06-29,PetCity e-pood\Mustvee,'5555******4444 29.06.21  PetCity e-pood\Mustvee,175.64,EUR,D
1375,2021-07-01,Euro Oil\Narva,'5555******4444 01.07.21  Euro Oil\Narva,74.48,EUR,D
1376,2021-07-01,Siim,Transaction with Siim,879.67,EUR,K
1377,2021-07-01,Balticom\Antsla,'5555******4444 01.07.21  Balticom\Antsla,194.48,EUR,D
1378,2021-07-01,Argo,Transaction with Argo,534.28,EUR,D
1379,2021-07-01,Euro Oil\Lohusuu,'5555******4444 01.07.21  Euro Oil\Lohusuu,11.66,EUR,D
1380,2021-07-02,Lindex\Kose,'5555******4444 02.07.21  Lindex\Kose,492.38,EUR,D
1381,2021-07-02,AlkoExpress\Abja-Paluoja,'5555******4444 02.07.21  AlkoExpress\Abja-Paluoja,491.84,EUR,D
1382,2021-07-02,Katrin,Transaction with Katrin,337.21,EUR,K
1383,2021-07-02,Rahva Raamat e-pood\Sillamäe,'5555******4444 02.07.21  Rahva Raamat e-pood\Sillamäe,485.1,EUR,D
1384,2021-07-04,Helena,Transaction with Helena,919.47,EUR,K
1385,2021-07-04,Gasum\Kuressaare,'5555******4444 04.07.21  Gasum\Kuressaare,145.65,EUR,D
1386,2021-07-04,Neste\Vastseliina,'5555******4444 04.07.21  Neste\Vastseliina,12.86,EUR,D
1387,2021-07-04,Sadama Turg\Rakvere,'5555******4444 04.07.21  Sadama Turg\Rakvere,220.69,EUR,D
1388,2021-07-04,Alexela\Muhu,'5555******4444 04.07.21  Alexela\Muhu,46.61,EUR,D
1389,2021-07-05,Kristjan,Transaction with Kristjan,915.45,EUR,D
1390,2021-07-05,Janek,Transaction with Janek,744.07,EUR,K
1391,2021-07-05,Matkasell\Rapla,'5555******4444 05.07.21  Matkasell\Rapla,429.02,EUR,D
1392,2021-07-07,Aatrium\Tallinn,'5555******4444 07.07.21  Aatrium\Tallinn,386.74,EUR,D
1393,2021-07-07,Fixus\Laagri,'5555******4444 07.07.21  Fixus\Laagri,231.26,EUR,D
1394,2021-07-08,Benu Apteek\Luunja,'5555******4444 08.07.21  Benu Apteek\Luunja,201.6,EUR,D
1395,2021-07-08,Olerex\Mustvee,'5555******4444 08.07.21  Olerex\Mustvee,25.63,EUR,D
1396,2021-07-09,Erik,Salary from Erik,2172.99,EUR,K
1397,2021-07-09,Kalev,Salary from Kalev,3271.05,EUR,K
1398,2021-07-09,Neste\Valga,'5555******4444 09.07.21  Neste\Valga,44.0,EUR,D
1399,2021-07-09,Olerex\Võhma,'5555******4444 09.07.21  Olerex\Võhma,37.89,EUR,D
1400,2021-07-09,Tactical Foodpack\Põltsamaa,'5555******4444 09.07.21  Tactical Foodpack\Põltsamaa,90.9,EUR,D
1401,2021-07-10,Hansaplant\Rapla,'5555******4444 10.07.21  Hansaplant\Rapla,372.42,EUR,D
1402,2021-07-11,Kaup24\Kunda,'5555******4444 11.07.21  Kaup24\Kunda,134.17,EUR,D
1403,2021-07-11,Selver\Võru,'5555******4444 11.07.21  Selver\Võru,174.18,EUR,D
1404,2021-07-13,Tondi Elektroonika\Kohtla-Järve,'5555******4444 13.07.21  Tondi Elektroonika\Kohtla-Järve,301.5,EUR,D
1405,2021-07-13,Marko,Salary from Marko,2634.5,EUR,K
1406,2021-07-13,E-Selver\Haapsalu,'5555******4444 13.07.21  E-Selver\Haapsalu,272.95,EUR,D
1407,2021-07-13,Hannes,Transaction with Hannes,491.7,EUR,K
1408,2021-07-13,Circle K\Jõgeva,'5555******4444 13.07.21  Circle K\Jõgeva,33.94,EUR,D
1409,2021-07-14,H&M\Loksa,'5555******4444 14.07.21  H&M\Loksa,477.58,EUR,D
1410,2021-07-14,Laura,Transaction with Laura,258.37,EUR,K
1411,2021-07-14,Keskturg\Tabasalu,'5555******4444 14.07.21  Keskturg\Tabasalu,52.82,EUR,D
1412,2021-07-14,ABC King\Tapa,'5555******4444 14.07.21  ABC King\Tapa,237.98,EUR,D
1413,2021-07-14,Viru Keskus\Viljandi,'5555******4444 14.07.21  Viru Keskus\Viljandi,347.59,EUR,D
1414,2021-07-16,Hansaplant\Tõrva,'5555******4444 16.07.21  Hansaplant\Tõrva,479.0,EUR,D
1415,2021-07-16,Alexela Energia\Tõrva,'5555******4444 16.07.21  Alexela Energia\Tõrva,100.72,EUR,D
1416,2021-07-16,Kidzone\Saku,'5555******4444 16.07.21  Kidzone\Saku,357.22,EUR,D
1417,2021-07-16,Kaubamaja Lastemaailm\Lohusuu,'5555******4444 16.07.21  Kaubamaja Lastemaailm\Lohusuu,459.82,EUR,D
1418,2021-07-18,Hansapost\Võhma,'5555******4444 18.07.21  Hansapost\Võhma,54.06,EUR,D
1419,2021-07-18,Annika,Transaction with Annika,612.46,EUR,K
1420,2021-07-18,Andres,Salary from Andres,1390.78,EUR,K
1421,2021-07-18,Elektrilevi\Jõgeva,'5555******4444 18.07.21  Elektrilevi\Jõgeva,88.07,EUR,D
1422,2021-07-19,Eesti Disaini Maja\Laagri,'5555******4444 19.07.21  Eesti Disaini Maja\Laagri,117.36,EUR,D
1423,2021-07-19,Airi,Transaction with Airi,988.61,EUR,K
1424,2021-07-19,Ahto,Transaction with Ahto,519.08,EUR,K
1425,2021-07-19,Tallinna Kaubamaja\Paide,'5555******4444 19.07.21  Tallinna Kaubamaja\Paide,143.31,EUR,D
1426,2021-07-20,Ehe ja Ehtne\Tõrva,'5555******4444 20.07.21  Ehe ja Ehtne\Tõrva,141.41,EUR,D
1427,2021-07-20,Decora e-pood\Püssi,'5555******4444 20.07.21  Decora e-pood\Püssi,54.48,EUR,D
1428,2021-07-20,Mööbliait\Antsla,'5555******4444 20.07.21  Mööbliait\Antsla,393.54,EUR,D
1429,2021-07-20,Euronics\Kunda,'5555******4444 20.07.21  Euronics\Kunda,299.86,EUR,D
1430,2021-07-20,Kadri,Transaction with Kadri,351.0,EUR,D
1431,2021-07-21,Maxima\Tartu,'5555******4444 21.07.21  Maxima\Tartu,286.45,EUR,D
1432,2021-07-21,Olerex\Antsla,'5555******4444 21.07.21  Olerex\Antsla,20.49,EUR,D
1433,2021-07-24,Jysk\Kilingi-Nõmme,'5555******4444 24.07.21  Jysk\Kilingi-Nõmme,93.07,EUR,D
1434,2021-07-24,Ivo,Transaction with Ivo,981.34,EUR,D
1435,2021-07-24,Aatrium\Loksa,'5555******4444 24.07.21  Aatrium\Loksa,198.42,EUR,D
1436,2021-07-25,Salva Kindlustus\Loksa,'5555******4444 25.07.21  Salva Kindlustus\Loksa,96.49,EUR,D
1437,2021-07-25,H&M\Antsla,'5555******4444 25.07.21  H&M\Antsla,199.45,EUR,D
1438,2021-07-26,Motonet\Laagri,'5555******4444 26.07.21  Motonet\Laagri,160.37,EUR,D
1439,2021-07-27,Kose Vesi\Kärdla,'5555******4444 27.07.21  Kose Vesi\Kärdla,151.21,EUR,D
1440,2021-07-27,Decora e-pood\Paide,'5555******4444 27.07.21  Decora e-pood\Paide,402.58,EUR,D
1441,2021-07-27,PetCenter\Rapla,'5555******4444 27.07.21  PetCenter\Rapla,499.88,EUR,D
1442,2021-07-27,E-Selver\Paldiski,'5555******4444 27.07.21  E-Selver\Paldiski,46.73,EUR,D
1443,2021-07-28,Jaan,Salary from Jaan,4804.16,EUR,K
1444,2021-07-28,Apollo Raamatud\Tabasalu,'5555******4444 28.07.21  Apollo Raamatud\Tabasalu,195.38,EUR,D
1445,2021-07-28,Tööriistamarket\Põltsamaa,'5555******4444 28.07.21  Tööriistamarket\Põltsamaa,233.47,EUR,D
1446,2021-07-28,Linda,Salary from Linda,1523.89,EUR,K
1447,2021-07-29,Euro Oil\Laagri,'5555******4444 29.07.21  Euro Oil\Laagri,28.28,EUR,D
1448,2021-07-29,Alexela\Võhma,'5555******4444 29.07.21  Alexela\Võhma,87.08,EUR,D
1449,2021-07-29,Tasku Keskus\Kohtla-Järve,'5555******4444 29.07.21  Tasku Keskus\Kohtla-Järve,421.29,EUR,D
1450,2021-07-29,Jetoil\Narva,'5555******4444 29.07.21  Jetoil\Narva,43.8,EUR,D
1451,2021-07-29,Laura,Transaction with Laura,950.9,EUR,K
1452,2021-07-30,Gjensidige\Kose,'5555******4444 30.07.21  Gjensidige\Kose,97.26,EUR,D
1453,2021-07-30,Statoil\Pärnu,'5555******4444 30.07.21  Statoil\Pärnu,47.91,EUR,D
1454,2021-07-30,Rahva Raamat\Türi,'5555******4444 30.07.21  Rahva Raamat\Türi,330.38,EUR,D
1455,2021-07-31,Liina,Salary from Liina,2511.39,EUR,K
1456,2021-08-01,Oskar,Transaction with Oskar,616.38,EUR,K
1457,2021-08-01,Euro Oil\Otepää,'5555******4444 01.08.21  Euro Oil\Otepää,48.74,EUR,D
1458,2021-08-01,Magaziin\Mustvee,'5555******4444 01.08.21  Magaziin\Mustvee,267.72,EUR,D
1459,2021-08-01,Oomipood\Jõhvi,'5555******4444 01.08.21  Oomipood\Jõhvi,26.02,EUR,D
1460,2021-08-02,AlkoExpress\Tabasalu,'5555******4444 02.08.21  AlkoExpress\Tabasalu,109.4,EUR,D
1461,2021-08-02,E-Selver\Antsla,'5555******4444 02.08.21  E-Selver\Antsla,493.32,EUR,D
1462,2021-08-03,Liina,Transaction with Liina,362.85,EUR,D
1463,2021-08-03,Katrin,Transaction with Katrin,886.52,EUR,K
1464,2021-08-03,Rahva Raamat\Lihula,'5555******4444 03.08.21  Rahva Raamat\Lihula,381.51,EUR,D
1465,2021-08-04,Liina,Transaction with Liina,534.86,EUR,K
1466,2021-08-04,Rimi e-pood\Haapsalu,'5555******4444 04.08.21  Rimi e-pood\Haapsalu,334.7,EUR,D
1467,2021-08-04,Terminal Oil\Sillamäe,'5555******4444 04.08.21  Terminal Oil\Sillamäe,69.95,EUR,D
1468,2021-08-05,Jetoil\Põltsamaa,'5555******4444 05.08.21  Jetoil\Põltsamaa,31.22,EUR,D
1469,2021-08-06,Maarja,Transaction with Maarja,876.64,EUR,D
1470,2021-08-06,Ingrid,Transaction with Ingrid,197.72,EUR,K
1471,2021-08-06,Circle K\Valga,'5555******4444 06.08.21  Circle K\Valga,50.2,EUR,D
1472,2021-08-06,PetCenter\Kose,'5555******4444 06.08.21  PetCenter\Kose,216.73,EUR,D
1473,2021-08-07,Uuskasutuskeskus\Kärdla,'5555******4444 07.08.21  Uuskasutuskeskus\Kärdla,105.54,EUR,D
1474,2021-08-07,Annika,Transaction with Annika,212.59,EUR,D
1475,2021-08-08,Heino,Transaction with Heino,968.53,EUR,K
1476,2021-08-08,Kidzone\Rapla,'5555******4444 08.08.21  Kidzone\Rapla,354.78,EUR,D
1477,2021-08-08,ERGO\Antsla,'5555******4444 08.08.21  ERGO\Antsla,169.58,EUR,D
1478,2021-08-09,Maxima e-pood\Mustvee,'5555******4444 09.08.21  Maxima e-pood\Mustvee,118.02,EUR,D
1479,2021-08-09,Ivo Nikkolo\Võru,'5555******4444 09.08.21  Ivo Nikkolo\Võru,159.82,EUR,D
1480,2021-08-09,Maxima e-pood\Kunda,'5555******4444 09.08.21  Maxima e-pood\Kunda,28.93,EUR,D
1481,2021-08-09,Arsenal\Haapsalu,'5555******4444 09.08.21  Arsenal\Haapsalu,103.84,EUR,D
